time,true_strain,true_stress
576.66667,-0.19884234,-0.71885208
578,-0.19884991,-0.7254808
579,-0.19883856,-0.72691072
580,-0.19884612,-0.72121869
581,-0.19886125,-0.71931212
582.33333,-0.19883856,-0.72359359
583.33333,-0.198831,-0.72265137
584.33333,-0.198831,-0.71886038
585.33333,-0.198831,-0.71554325
586.66667,-0.198831,-0.71980813
587.66667,-0.19881588,-0.7221885
588.66667,-0.19880453,-0.71982737
590,-0.19882722,-0.7136505
591,-0.198831,-0.716491
592,-0.198831,-0.71886038
593,-0.198831,-0.71980813
594.33333,-0.19883478,-0.72217473
595.33333,-0.19886503,-0.72547008
596.33333,-0.19890663,-0.72591397
597.33333,-0.19890284,-0.72449477
598.66667,-0.1988915,-0.72071225
599.66667,-0.19887259,-0.71977833
600.66667,-0.19883856,-0.72264597
601.66667,-0.198831,-0.72312525
603,-0.19883478,-0.71459273
604,-0.19885369,-0.71457891
605,-0.19885369,-0.72168703
606.33333,-0.198831,-0.72739012
607.33333,-0.198831,-0.72739012
608.33333,-0.198831,-0.72502075
609.33333,-0.198831,-0.72170362
610.66667,-0.198831,-0.72122975
611.66667,-0.19884612,-0.72406194
612.66667,-0.19886125,-0.7254725
613.66667,-0.19886503,-0.72499586
615,-0.19884612,-0.72453581
616,-0.198831,-0.7259685
617,-0.19884234,-0.72501245
618.33333,-0.19888394,-0.72308691
619.33333,-0.19967297,-0.73004745
620.33333,-0.20405555,-0.76673233
621.33333,-0.2127218,-0.81942009
622.66667,-0.22592117,-0.87100653
623.66667,-0.23606928,-0.90241794
624.66667,-0.24622652,-0.93170216
625.66667,-0.25634719,-0.96434116
627,-0.27001661,-1.010846
628,-0.28019414,-1.0425521
629,-0.28983266,-1.0728127
630.33333,-0.29730031,-1.0834535
631.33333,-0.29825386,-1.0716979
632.33333,-0.29825386,-1.0596849
633.33333,-0.29823717,-1.0481189
634.66667,-0.298233,-1.043404
635.66667,-0.29825803,-1.0433779
636.66667,-0.29829558,-1.0433388
637.66667,-0.29829141,-1.0424849
